,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,TEAM_NAME_y,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,E_PACE,E_DEF_RATING
6,2020-21,ATL,Atlanta Hawks,22000330,2/3/21,ATL vs. DAL,1610612742,40.56,87.62,0.463,0.466,-0.003,Dallas Mavericks,34,34,0.396,20.15,34.71,0.581,0.577,27.09,50.97,0.531,0.531,13.47,36.65,0.368,0.367,99.5,110.4
12,2020-21,ATL,Atlanta Hawks,22000313,2/1/21,ATL vs. LAL,1610612747,40.03,88.32,0.453,0.464,-0.011,Los Angeles Lakers,37,37,0.442,22.03,39,0.565,0.574,28.35,55.68,0.509,0.529,11.68,32.65,0.358,0.363,100.8,104.8
14,2020-21,ATL,Atlanta Hawks,22000290,1/29/21,ATL @ WAS,1610612764,42.76,90.24,0.474,0.464,0.01,Washington Wizards,34,34,0.399,20.94,36.03,0.581,0.575,29.26,55.18,0.53,0.527,13.5,35.06,0.385,0.368,106.4,110.5
17,2020-21,ATL,Atlanta Hawks,22000274,1/27/21,ATL vs. BKN,1610612751,43.46,93.05,0.467,0.464,0.003,Brooklyn Nets,37,37,0.407,21.73,37.92,0.573,0.572,30.59,58,0.527,0.527,12.86,35.05,0.367,0.362,101.8,110.6
20,2020-21,ATL,Atlanta Hawks,22000268,1/26/21,ATL vs. LAC,1610612746,40.89,87.47,0.468,0.466,0.001,LA Clippers,38,38,0.417,20.71,36.45,0.568,0.578,29.18,55.08,0.53,0.532,11.71,32.39,0.361,0.366,99.1,108.7
22,2020-21,ATL,Atlanta Hawks,22000254,1/24/21,ATL @ MIL,1610612749,41.86,91.97,0.455,0.462,-0.007,Milwaukee Bucks,36,36,0.382,19.11,35.17,0.543,0.571,27.75,54.22,0.512,0.527,14.11,37.75,0.374,0.364,104.4,109.1
25,2020-21,ATL,Atlanta Hawks,22000236,1/22/21,ATL @ MIN,1610612750,42.83,89.47,0.479,0.464,0.014,Minnesota Timberwolves,36,36,0.455,23.44,40.72,0.576,0.572,31.19,58.75,0.531,0.526,11.64,30.72,0.379,0.364,104.1,112.1
27,2020-21,ATL,Atlanta Hawks,22000219,1/20/21,ATL vs. DET,1610612765,41.28,86.03,0.48,0.466,0.014,Detroit Pistons,36,36,0.451,22.53,38.83,0.58,0.578,29.31,54.03,0.542,0.53,11.97,32,0.374,0.366,100.1,110.3
26,2020-21,ATL,Atlanta Hawks,22000205,1/18/21,ATL vs. MIN,1610612750,42.83,89.47,0.479,0.464,0.014,Minnesota Timberwolves,36,36,0.455,23.44,40.72,0.576,0.572,31.19,58.75,0.531,0.526,11.64,30.72,0.379,0.364,104.1,112.1
30,2020-21,ATL,Atlanta Hawks,22000195,1/16/21,ATL @ POR,1610612757,41.97,88.69,0.473,0.466,0.008,Portland Trail Blazers,35,35,0.421,21.6,37.37,0.578,0.577,29.03,53.63,0.541,0.53,12.94,35.06,0.369,0.364,100.8,113.4
11,2020-21,ATL,Atlanta Hawks,22000186,1/15/21,ATL @ UTA,1610612762,40.94,91.14,0.449,0.467,-0.017,Utah Jazz,36,36,0.44,21.83,40.06,0.545,0.576,30.08,60.47,0.497,0.529,10.86,30.67,0.354,0.368,100.8,105.7
32,2020-21,ATL,Atlanta Hawks,22000153,1/11/21,ATL vs. PHI,1610612755,40.44,89.72,0.451,0.463,-0.012,Philadelphia 76ers,36,36,0.418,20.81,37.53,0.554,0.572,27.67,54.86,0.504,0.527,12.78,34.86,0.367,0.366,101.8,105.1
35,2020-21,ATL,Atlanta Hawks,22000134,1/9/21,ATL @ CHA,1610612766,41.6,88.2,0.472,0.464,0.008,Charlotte Hornets,35,35,0.413,22.2,36.43,0.609,0.572,26.4,47.83,0.552,0.528,15.2,40.37,0.377,0.365,100.6,110.6
36,2020-21,ATL,Atlanta Hawks,22000110,1/6/21,ATL vs. CHA,1610612766,41.6,88.2,0.472,0.464,0.008,Charlotte Hornets,35,35,0.413,22.2,36.43,0.609,0.572,26.4,47.83,0.552,0.528,15.2,40.37,0.377,0.365,100.6,110.6
38,2020-21,ATL,Atlanta Hawks,22000095,1/4/21,ATL vs. NYK,1610612752,37.27,85.65,0.435,0.463,-0.028,New York Knicks,37,37,0.417,19.49,35.68,0.546,0.572,25.05,48.65,0.515,0.528,12.22,37,0.33,0.366,98.2,105.7
41,2020-21,ATL,Atlanta Hawks,22000083,1/2/21,ATL vs. CLE,1610612739,41.5,86.17,0.482,0.465,0.017,Cleveland Cavaliers,36,36,0.45,22.44,38.81,0.578,0.573,28.53,53.58,0.532,0.527,12.97,32.58,0.398,0.369,99.6,112.1
18,2020-21,ATL,Atlanta Hawks,22000072,1/1/21,ATL @ BKN,1610612751,43.46,93.05,0.467,0.464,0.003,Brooklyn Nets,37,37,0.407,21.73,37.92,0.573,0.572,30.59,58,0.527,0.527,12.86,35.05,0.367,0.362,101.8,110.6
19,2020-21,ATL,Atlanta Hawks,22000057,12/30/20,ATL @ BKN,1610612751,43.46,93.05,0.467,0.464,0.003,Brooklyn Nets,37,37,0.407,21.73,37.92,0.573,0.572,30.59,58,0.527,0.527,12.86,35.05,0.367,0.362,101.8,110.6
28,2020-21,ATL,Atlanta Hawks,22000041,12/28/20,ATL vs. DET,1610612765,41.28,86.03,0.48,0.466,0.014,Detroit Pistons,36,36,0.451,22.53,38.83,0.58,0.578,29.31,54.03,0.542,0.53,11.97,32,0.374,0.366,100.1,110.3
44,2020-21,ATL,Atlanta Hawks,22000021,12/26/20,ATL @ MEM,1610612763,40.34,85.56,0.472,0.467,0.005,Memphis Grizzlies,32,32,0.404,20.44,34.56,0.591,0.578,27.28,50.72,0.538,0.532,13.06,34.84,0.375,0.361,102.6,108.5
46,2020-21,ATL,Atlanta Hawks,22000015,12/23/20,ATL @ CHI,1610612741,42.29,88.94,0.476,0.465,0.011,Chicago Bulls,34,34,0.431,22.56,38.35,0.588,0.575,30.79,56.26,0.547,0.528,11.5,32.68,0.352,0.364,101.1,109.9
13,2020-21,BKN,Brooklyn Nets,22001067,5/16/21,BKN vs. CLE,1610612739,42.5,87.31,0.487,0.466,0.021,Cleveland Cavaliers,36,36,0.469,24.44,40.94,0.597,0.578,30.67,55.06,0.557,0.532,11.83,32.25,0.367,0.365,99.6,112.1
16,2020-21,BKN,Brooklyn Nets,22001060,5/15/21,BKN vs. CHI,1610612741,40.66,86.55,0.47,0.464,0.006,Chicago Bulls,38,38,0.437,21.92,37.79,0.58,0.57,29.13,54.53,0.534,0.527,11.53,32.03,0.36,0.366,101.1,109.9
19,2020-21,BKN,Brooklyn Nets,22001043,5/12/21,BKN vs. SAS,1610612759,42.98,89.83,0.478,0.469,0.009,San Antonio Spurs,40,40,0.463,24.03,41.6,0.578,0.58,31.3,58.35,0.536,0.533,11.68,31.48,0.371,0.37,101,110.7
17,2020-21,BKN,Brooklyn Nets,22001036,5/11/21,BKN @ CHI,1610612741,40.66,86.55,0.47,0.464,0.006,Chicago Bulls,38,38,0.437,21.92,37.79,0.58,0.57,29.13,54.53,0.534,0.527,11.53,32.03,0.36,0.366,101.1,109.9
21,2020-21,BKN,Brooklyn Nets,22001015,5/8/21,BKN @ DEN,1610612743,39.75,84.78,0.469,0.462,0.007,Denver Nuggets,36,36,0.417,20.86,35.33,0.59,0.57,26.5,49.19,0.539,0.524,13.25,35.58,0.372,0.365,99.3,110
23,2020-21,BKN,Brooklyn Nets,22000998,5/6/21,BKN @ DAL,1610612742,39.63,86.58,0.458,0.465,-0.007,Dallas Mavericks,38,38,0.422,20.53,36.53,0.562,0.574,27.34,52.61,0.52,0.528,12.29,33.97,0.362,0.364,99.5,110.4
25,2020-21,BKN,Brooklyn Nets,22000985,5/4/21,BKN @ MIL,1610612749,42.92,93.81,0.458,0.466,-0.009,Milwaukee Bucks,36,36,0.364,18.64,34.14,0.546,0.574,27.36,54.39,0.503,0.528,15.56,39.42,0.395,0.366,104.4,109.1
26,2020-21,BKN,Brooklyn Nets,22000967,5/2/21,BKN @ MIL,1610612749,42.92,93.81,0.458,0.466,-0.009,Milwaukee Bucks,36,36,0.364,18.64,34.14,0.546,0.574,27.36,54.39,0.503,0.528,15.56,39.42,0.395,0.366,104.4,109.1
28,2020-21,BKN,Brooklyn Nets,22000952,4/30/21,BKN vs. POR,1610612757,41.57,87.86,0.473,0.466,0.007,Portland Trail Blazers,37,37,0.413,21.57,36.32,0.594,0.577,28.73,53.62,0.536,0.531,12.84,34.24,0.375,0.366,100.8,113.4
30,2020-21,BKN,Brooklyn Nets,22000944,4/29/21,BKN @ IND,1610612754,44.05,94.46,0.466,0.464,0.002,Indiana Pacers,37,37,0.504,26.81,47.57,0.564,0.575,33.16,63.41,0.523,0.528,10.89,31.05,0.351,0.362,104,109.6
33,2020-21,BKN,Brooklyn Nets,22000930,4/27/21,BKN @ TOR,1610612761,39.42,85.08,0.463,0.465,-0.002,Toronto Raptors,36,36,0.422,20.97,35.89,0.584,0.574,25.72,49.14,0.523,0.527,13.69,35.94,0.381,0.366,101.6,109.8
36,2020-21,BKN,Brooklyn Nets,22000912,4/25/21,BKN vs. PHX,1610612756,41.35,87.03,0.475,0.462,0.013,Phoenix Suns,37,37,0.427,22.05,37.19,0.593,0.571,29.22,53.73,0.544,0.525,12.14,33.3,0.364,0.366,99.3,108.8
9,2020-21,BKN,Brooklyn Nets,22000899,4/23/21,BKN vs. BOS,1610612738,39.89,86.61,0.461,0.462,-0.002,Boston Celtics,36,36,0.416,19.5,36.03,0.541,0.572,26.44,51.72,0.511,0.526,13.44,34.89,0.385,0.364,100.7,110
34,2020-21,BKN,Brooklyn Nets,22000884,4/21/21,BKN @ TOR,1610612761,39.42,85.08,0.463,0.465,-0.002,Toronto Raptors,36,36,0.422,20.97,35.89,0.584,0.574,25.72,49.14,0.523,0.527,13.69,35.94,0.381,0.366,101.6,109.8
38,2020-21,BKN,Brooklyn Nets,22000878,4/20/21,BKN @ NOP,1610612740,41.75,90.39,0.462,0.464,-0.002,New Orleans Pelicans,36,36,0.401,21.25,36.22,0.587,0.573,28.33,53.69,0.528,0.525,13.42,36.69,0.366,0.368,102.3,111.6
40,2020-21,BKN,Brooklyn Nets,22000863,4/18/21,BKN @ MIA,1610612748,39.44,83.67,0.471,0.464,0.008,Miami Heat,36,36,0.405,20.17,33.89,0.595,0.571,25.75,46.44,0.554,0.526,13.69,37.22,0.368,0.363,98.7,108.5
6,2020-21,BKN,Brooklyn Nets,22000848,4/16/21,BKN vs. CHA,1610612766,40.97,88.08,0.465,0.466,-0.001,Charlotte Hornets,37,37,0.421,22.14,37.08,0.597,0.578,27.19,49.32,0.551,0.529,13.78,38.76,0.356,0.366,100.6,110.6
43,2020-21,BKN,Brooklyn Nets,22000830,4/14/21,BKN @ PHI,1610612755,38.31,84.14,0.455,0.466,-0.011,Philadelphia 76ers,36,36,0.425,21.19,35.72,0.593,0.575,27.28,52.94,0.515,0.528,11.03,31.19,0.354,0.363,101.8,105.1
46,2020-21,BKN,Brooklyn Nets,22000817,4/13/21,BKN @ MIN,1610612750,43.22,89,0.486,0.468,0.018,Minnesota Timberwolves,36,36,0.433,21.97,38.5,0.571,0.582,28.61,52.72,0.543,0.535,14.61,36.28,0.403,0.368,104.1,112.1
48,2020-21,BKN,Brooklyn Nets,22000800,4/10/21,BKN vs. LAL,1610612747,39.46,84.37,0.468,0.466,0.002,Los Angeles Lakers,35,35,0.422,21.09,35.6,0.592,0.575,28.43,52.57,0.541,0.53,11.03,31.8,0.347,0.37,100.8,104.8
39,2020-21,BKN,Brooklyn Nets,22000779,4/7/21,BKN vs. NOP,1610612740,41.75,90.39,0.462,0.464,-0.002,New Orleans Pelicans,36,36,0.401,21.25,36.22,0.587,0.573,28.33,53.69,0.528,0.525,13.42,36.69,0.366,0.368,102.3,111.6
50,2020-21,BKN,Brooklyn Nets,22000762,4/5/21,BKN vs. NYK,1610612752,38.6,86.86,0.444,0.468,-0.023,New York Knicks,35,35,0.433,21.06,37.57,0.56,0.58,26.83,52.69,0.509,0.533,11.77,34.17,0.344,0.364,98.2,105.7
18,2020-21,BKN,Brooklyn Nets,22000755,4/4/21,BKN @ CHI,1610612741,40.66,86.55,0.47,0.464,0.006,Chicago Bulls,38,38,0.437,21.92,37.79,0.58,0.57,29.13,54.53,0.534,0.527,11.53,32.03,0.36,0.366,101.1,109.9
