,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,TEAM_NAME_y,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,E_PACE,E_DEF_RATING
54,2020-21,MIN,Minnesota Timberwolves,22000628,3/18/21,MIN @ PHX,1610612756,41.35,87.03,0.475,0.462,0.013,Phoenix Suns,37,37,0.427,22.05,37.19,0.593,0.571,29.22,53.73,0.544,0.525,12.14,33.3,0.364,0.366,99.3,108.8
4,2020-21,MIN,Minnesota Timberwolves,22000615,3/16/21,MIN @ LAL,1610612747,39.46,84.37,0.468,0.466,0.002,Los Angeles Lakers,35,35,0.422,21.09,35.6,0.592,0.575,28.43,52.57,0.541,0.53,11.03,31.8,0.347,0.37,100.8,104.8
56,2020-21,MIN,Minnesota Timberwolves,22000599,3/14/21,MIN vs. POR,1610612757,41.57,87.86,0.473,0.466,0.007,Portland Trail Blazers,37,37,0.413,21.57,36.32,0.594,0.577,28.73,53.62,0.536,0.531,12.84,34.24,0.375,0.366,100.8,113.4
57,2020-21,MIN,Minnesota Timberwolves,22000591,3/13/21,MIN vs. POR,1610612757,41.57,87.86,0.473,0.466,0.007,Portland Trail Blazers,37,37,0.413,21.57,36.32,0.594,0.577,28.73,53.62,0.536,0.531,12.84,34.24,0.375,0.366,100.8,113.4
27,2020-21,MIN,Minnesota Timberwolves,22000574,3/11/21,MIN @ NOP,1610612740,41.75,90.39,0.462,0.464,-0.002,New Orleans Pelicans,36,36,0.401,21.25,36.22,0.587,0.573,28.33,53.69,0.528,0.525,13.42,36.69,0.366,0.368,102.3,111.6
59,2020-21,MIN,Minnesota Timberwolves,22000547,3/3/21,MIN vs. CHA,1610612766,40.97,88.08,0.465,0.466,-0.001,Charlotte Hornets,37,37,0.421,22.14,37.08,0.597,0.578,27.19,49.32,0.551,0.529,13.78,38.76,0.356,0.366,100.6,110.6
55,2020-21,MIN,Minnesota Timberwolves,22000526,2/28/21,MIN vs. PHX,1610612756,41.35,87.03,0.475,0.462,0.013,Phoenix Suns,37,37,0.427,22.05,37.19,0.593,0.571,29.22,53.73,0.544,0.525,12.14,33.3,0.364,0.366,99.3,108.8
61,2020-21,MIN,Minnesota Timberwolves,22000517,2/27/21,MIN @ WAS,1610612764,43.37,92.74,0.468,0.464,0.003,Washington Wizards,38,38,0.445,23.39,41.29,0.567,0.571,31.89,60.32,0.529,0.528,11.47,32.42,0.354,0.365,106.4,110.5
43,2020-21,MIN,Minnesota Timberwolves,22000493,2/24/21,MIN @ CHI,1610612741,40.66,86.55,0.47,0.464,0.006,Chicago Bulls,38,38,0.437,21.92,37.79,0.58,0.57,29.13,54.53,0.534,0.527,11.53,32.03,0.36,0.366,101.1,109.9
39,2020-21,MIN,Minnesota Timberwolves,22000486,2/23/21,MIN @ MIL,1610612749,42.92,93.81,0.458,0.466,-0.009,Milwaukee Bucks,36,36,0.364,18.64,34.14,0.546,0.574,27.36,54.39,0.503,0.528,15.56,39.42,0.395,0.366,104.4,109.1
49,2020-21,MIN,Minnesota Timberwolves,22000469,2/21/21,MIN @ NYK,1610612752,38.6,86.86,0.444,0.468,-0.023,New York Knicks,35,35,0.433,21.06,37.57,0.56,0.58,26.83,52.69,0.509,0.533,11.77,34.17,0.344,0.364,98.2,105.7
63,2020-21,MIN,Minnesota Timberwolves,22000454,2/19/21,MIN vs. TOR,1610612761,39.42,85.08,0.463,0.465,-0.002,Toronto Raptors,36,36,0.422,20.97,35.89,0.584,0.574,25.72,49.14,0.523,0.527,13.69,35.94,0.381,0.366,101.6,109.8
45,2020-21,MIN,Minnesota Timberwolves,22000440,2/17/21,MIN vs. IND,1610612754,44.05,94.46,0.466,0.464,0.002,Indiana Pacers,37,37,0.504,26.81,47.57,0.564,0.575,33.16,63.41,0.523,0.528,10.89,31.05,0.351,0.362,104,109.6
5,2020-21,MIN,Minnesota Timberwolves,22000431,2/16/21,MIN vs. LAL,1610612747,39.46,84.37,0.468,0.466,0.002,Los Angeles Lakers,35,35,0.422,21.09,35.6,0.592,0.575,28.43,52.57,0.541,0.53,11.03,31.8,0.347,0.37,100.8,104.8
64,2020-21,MIN,Minnesota Timberwolves,22000413,2/14/21,MIN @ TOR,1610612761,39.42,85.08,0.463,0.465,-0.002,Toronto Raptors,36,36,0.422,20.97,35.89,0.584,0.574,25.72,49.14,0.523,0.527,13.69,35.94,0.381,0.366,101.6,109.8
60,2020-21,MIN,Minnesota Timberwolves,22000395,2/12/21,MIN @ CHA,1610612766,40.97,88.08,0.465,0.466,-0.001,Charlotte Hornets,37,37,0.421,22.14,37.08,0.597,0.578,27.19,49.32,0.551,0.529,13.78,38.76,0.356,0.366,100.6,110.6
2,2020-21,MIN,Minnesota Timberwolves,22000387,2/10/21,MIN vs. LAC,1610612746,39.21,85.26,0.46,0.462,-0.002,LA Clippers,34,34,0.41,19.85,34.97,0.568,0.572,27.79,52.62,0.528,0.526,11.41,32.65,0.35,0.363,99.1,108.7
13,2020-21,MIN,Minnesota Timberwolves,22000370,2/8/21,MIN @ DAL,1610612742,39.63,86.58,0.458,0.465,-0.007,Dallas Mavericks,38,38,0.422,20.53,36.53,0.562,0.574,27.34,52.61,0.52,0.528,12.29,33.97,0.362,0.364,99.5,110.4
51,2020-21,MIN,Minnesota Timberwolves,22000359,2/6/21,MIN @ OKC,1610612760,44.56,91.94,0.485,0.467,0.017,Oklahoma City Thunder,36,36,0.411,22.64,37.75,0.6,0.576,30.14,54.03,0.558,0.532,14.42,37.92,0.38,0.368,103.1,111.9
52,2020-21,MIN,Minnesota Timberwolves,22000348,2/5/21,MIN @ OKC,1610612760,44.56,91.94,0.485,0.467,0.017,Oklahoma City Thunder,36,36,0.411,22.64,37.75,0.6,0.576,30.14,54.03,0.558,0.532,14.42,37.92,0.38,0.368,103.1,111.9
65,2020-21,MIN,Minnesota Timberwolves,22000334,2/3/21,MIN @ SAS,1610612759,42.98,89.83,0.478,0.469,0.009,San Antonio Spurs,40,40,0.463,24.03,41.6,0.578,0.58,31.3,58.35,0.536,0.533,11.68,31.48,0.371,0.37,101,110.7
68,2020-21,MIN,Minnesota Timberwolves,22000312,2/1/21,MIN @ CLE,1610612739,42.5,87.31,0.487,0.466,0.021,Cleveland Cavaliers,36,36,0.469,24.44,40.94,0.597,0.578,30.67,55.06,0.557,0.532,11.83,32.25,0.367,0.365,99.6,112.1
69,2020-21,MIN,Minnesota Timberwolves,22000311,1/31/21,MIN vs. CLE,1610612739,42.5,87.31,0.487,0.466,0.021,Cleveland Cavaliers,36,36,0.469,24.44,40.94,0.597,0.578,30.67,55.06,0.557,0.532,11.83,32.25,0.367,0.365,99.6,112.1
47,2020-21,MIN,Minnesota Timberwolves,22000294,1/29/21,MIN vs. PHI,1610612755,38.31,84.14,0.455,0.466,-0.011,Philadelphia 76ers,36,36,0.425,21.19,35.72,0.593,0.575,27.28,52.94,0.515,0.528,11.03,31.19,0.354,0.363,101.8,105.1
30,2020-21,MIN,Minnesota Timberwolves,22000283,1/27/21,MIN @ GSW,1610612744,40.77,88.34,0.462,0.466,-0.005,Golden State Warriors,35,35,0.449,22.4,39.69,0.564,0.577,29.26,55.06,0.531,0.533,11.51,33.29,0.346,0.362,104.4,107.7
31,2020-21,MIN,Minnesota Timberwolves,22000266,1/25/21,MIN @ GSW,1610612744,40.77,88.34,0.462,0.466,-0.005,Golden State Warriors,35,35,0.449,22.4,39.69,0.564,0.577,29.26,55.06,0.531,0.533,11.51,33.29,0.346,0.362,104.4,107.7
28,2020-21,MIN,Minnesota Timberwolves,22000246,1/23/21,MIN vs. NOP,1610612740,41.75,90.39,0.462,0.464,-0.002,New Orleans Pelicans,36,36,0.401,21.25,36.22,0.587,0.573,28.33,53.69,0.528,0.525,13.42,36.69,0.366,0.368,102.3,111.6
70,2020-21,MIN,Minnesota Timberwolves,22000236,1/22/21,MIN vs. ATL,1610612737,41.53,89.42,0.464,0.466,-0.001,Atlanta Hawks,36,36,0.421,21.75,37.67,0.577,0.576,29.5,55.11,0.535,0.53,12.03,34.31,0.351,0.363,99.9,110.6
20,2020-21,MIN,Minnesota Timberwolves,22000221,1/20/21,MIN vs. ORL,1610612753,42.64,90.67,0.47,0.468,0.002,Orlando Magic,36,36,0.411,21.47,37.25,0.576,0.579,28.92,53.86,0.537,0.532,13.72,36.81,0.373,0.366,100.8,112.1
71,2020-21,MIN,Minnesota Timberwolves,22000205,1/18/21,MIN @ ATL,1610612737,41.53,89.42,0.464,0.466,-0.001,Atlanta Hawks,36,36,0.421,21.75,37.67,0.577,0.576,29.5,55.11,0.535,0.53,12.03,34.31,0.351,0.363,99.9,110.6
25,2020-21,MIN,Minnesota Timberwolves,22000169,1/13/21,MIN vs. MEM,1610612763,41.55,91.2,0.456,0.464,-0.009,Memphis Grizzlies,40,40,0.436,21.78,39.8,0.547,0.575,28.85,55.95,0.516,0.529,12.7,35.25,0.36,0.369,102.6,108.5
66,2020-21,MIN,Minnesota Timberwolves,22000147,1/10/21,MIN vs. SAS,1610612759,42.98,89.83,0.478,0.469,0.009,San Antonio Spurs,40,40,0.463,24.03,41.6,0.578,0.58,31.3,58.35,0.536,0.533,11.68,31.48,0.371,0.37,101,110.7
67,2020-21,MIN,Minnesota Timberwolves,22000138,1/9/21,MIN vs. SAS,1610612759,42.98,89.83,0.478,0.469,0.009,San Antonio Spurs,40,40,0.463,24.03,41.6,0.578,0.58,31.3,58.35,0.536,0.533,11.68,31.48,0.371,0.37,101,110.7
58,2020-21,MIN,Minnesota Timberwolves,22000122,1/7/21,MIN @ POR,1610612757,41.57,87.86,0.473,0.466,0.007,Portland Trail Blazers,37,37,0.413,21.57,36.32,0.594,0.577,28.73,53.62,0.536,0.531,12.84,34.24,0.375,0.366,100.8,113.4
17,2020-21,MIN,Minnesota Timberwolves,22000104,1/5/21,MIN @ DEN,1610612743,39.75,84.78,0.469,0.462,0.007,Denver Nuggets,36,36,0.417,20.86,35.33,0.59,0.57,26.5,49.19,0.539,0.524,13.25,35.58,0.372,0.365,99.3,110
18,2020-21,MIN,Minnesota Timberwolves,22000088,1/3/21,MIN vs. DEN,1610612743,39.75,84.78,0.469,0.462,0.007,Denver Nuggets,36,36,0.417,20.86,35.33,0.59,0.57,26.5,49.19,0.539,0.524,13.25,35.58,0.372,0.365,99.3,110
62,2020-21,MIN,Minnesota Timberwolves,22000074,1/1/21,MIN vs. WAS,1610612764,43.37,92.74,0.468,0.464,0.003,Washington Wizards,38,38,0.445,23.39,41.29,0.567,0.571,31.89,60.32,0.529,0.528,11.47,32.42,0.354,0.365,106.4,110.5
0,2020-21,MIN,Minnesota Timberwolves,22000054,12/29/20,MIN @ LAC,1610612746,40.89,87.47,0.468,0.466,0.001,LA Clippers,38,38,0.417,20.71,36.45,0.568,0.578,29.18,55.08,0.53,0.532,11.71,32.39,0.361,0.366,99.1,108.7
3,2020-21,MIN,Minnesota Timberwolves,22000040,12/27/20,MIN @ LAL,1610612747,40.03,88.32,0.453,0.464,-0.011,Los Angeles Lakers,37,37,0.442,22.03,39,0.565,0.574,28.35,55.68,0.509,0.529,11.68,32.65,0.358,0.363,100.8,104.8
6,2020-21,MIN,Minnesota Timberwolves,22000028,12/26/20,MIN @ UTA,1610612762,40.94,91.14,0.449,0.467,-0.017,Utah Jazz,36,36,0.44,21.83,40.06,0.545,0.576,30.08,60.47,0.497,0.529,10.86,30.67,0.354,0.368,100.8,105.7
9,2020-21,MIN,Minnesota Timberwolves,22000018,12/23/20,MIN vs. DET,1610612765,41.28,86.03,0.48,0.466,0.014,Detroit Pistons,36,36,0.451,22.53,38.83,0.58,0.578,29.31,54.03,0.542,0.53,11.97,32,0.374,0.366,100.1,110.3
13,2020-21,NOP,New Orleans Pelicans,22001072,5/16/21,NOP vs. LAL,1610612747,39.46,84.37,0.468,0.466,0.002,Los Angeles Lakers,35,35,0.422,21.09,35.6,0.592,0.575,28.43,52.57,0.541,0.53,11.03,31.8,0.347,0.37,100.8,104.8
16,2020-21,NOP,New Orleans Pelicans,22001059,5/14/21,NOP @ GSW,1610612744,40.77,88.34,0.462,0.466,-0.005,Golden State Warriors,35,35,0.449,22.4,39.69,0.564,0.577,29.26,55.06,0.531,0.533,11.51,33.29,0.346,0.362,104.4,107.7
19,2020-21,NOP,New Orleans Pelicans,22000154,5/12/21,NOP @ DAL,1610612742,39.63,86.58,0.458,0.465,-0.007,Dallas Mavericks,38,38,0.422,20.53,36.53,0.562,0.574,27.34,52.61,0.52,0.528,12.29,33.97,0.362,0.364,99.5,110.4
22,2020-21,NOP,New Orleans Pelicans,22001028,5/10/21,NOP @ MEM,1610612763,41.55,91.2,0.456,0.464,-0.009,Memphis Grizzlies,40,40,0.436,21.78,39.8,0.547,0.575,28.85,55.95,0.516,0.529,12.7,35.25,0.36,0.369,102.6,108.5
25,2020-21,NOP,New Orleans Pelicans,22001020,5/9/21,NOP @ CHA,1610612766,40.97,88.08,0.465,0.466,-0.001,Charlotte Hornets,37,37,0.421,22.14,37.08,0.597,0.578,27.19,49.32,0.551,0.529,13.78,38.76,0.356,0.366,100.6,110.6
27,2020-21,NOP,New Orleans Pelicans,22001003,5/7/21,NOP @ PHI,1610612755,38.31,84.14,0.455,0.466,-0.011,Philadelphia 76ers,36,36,0.425,21.19,35.72,0.593,0.575,27.28,52.94,0.515,0.528,11.03,31.19,0.354,0.363,101.8,105.1
17,2020-21,NOP,New Orleans Pelicans,22000987,5/4/21,NOP vs. GSW,1610612744,40.77,88.34,0.462,0.466,-0.005,Golden State Warriors,35,35,0.449,22.4,39.69,0.564,0.577,29.26,55.06,0.531,0.533,11.51,33.29,0.346,0.362,104.4,107.7
18,2020-21,NOP,New Orleans Pelicans,22000977,5/3/21,NOP vs. GSW,1610612744,40.77,88.34,0.462,0.466,-0.005,Golden State Warriors,35,35,0.449,22.4,39.69,0.564,0.577,29.26,55.06,0.531,0.533,11.51,33.29,0.346,0.362,104.4,107.7
29,2020-21,NOP,New Orleans Pelicans,22000962,5/1/21,NOP @ MIN,1610612750,43.22,89,0.486,0.468,0.018,Minnesota Timberwolves,36,36,0.433,21.97,38.5,0.571,0.582,28.61,52.72,0.543,0.535,14.61,36.28,0.403,0.368,104.1,112.1
1,2020-21,NOP,New Orleans Pelicans,22000947,4/29/21,NOP @ OKC,1610612760,44.56,91.94,0.485,0.467,0.017,Oklahoma City Thunder,36,36,0.411,22.64,37.75,0.6,0.576,30.14,54.03,0.558,0.532,14.42,37.92,0.38,0.368,103.1,111.9
32,2020-21,NOP,New Orleans Pelicans,22000940,4/28/21,NOP @ DEN,1610612743,39.75,84.78,0.469,0.462,0.007,Denver Nuggets,36,36,0.417,20.86,35.33,0.59,0.57,26.5,49.19,0.539,0.524,13.25,35.58,0.372,0.365,99.3,110
35,2020-21,NOP,New Orleans Pelicans,22000924,4/26/21,NOP vs. LAC,1610612746,39.21,85.26,0.46,0.462,-0.002,LA Clippers,34,34,0.41,19.85,34.97,0.568,0.572,27.79,52.62,0.528,0.526,11.41,32.65,0.35,0.363,99.1,108.7
7,2020-21,NOP,New Orleans Pelicans,22000264,4/24/21,NOP vs. SAS,1610612759,42.98,89.83,0.478,0.469,0.009,San Antonio Spurs,40,40,0.463,24.03,41.6,0.578,0.58,31.3,58.35,0.536,0.533,11.68,31.48,0.371,0.37,101,110.7
38,2020-21,NOP,New Orleans Pelicans,22000893,4/22/21,NOP @ ORL,1610612753,42.64,90.67,0.47,0.468,0.002,Orlando Magic,36,36,0.411,21.47,37.25,0.576,0.579,28.92,53.86,0.537,0.532,13.72,36.81,0.373,0.366,100.8,112.1
40,2020-21,NOP,New Orleans Pelicans,22000878,4/20/21,NOP vs. BKN,1610612751,40.26,89.43,0.45,0.464,-0.013,Brooklyn Nets,35,35,0.403,20.4,36,0.567,0.575,26.69,52,0.513,0.528,13.57,37.43,0.363,0.365,101.8,110.6
42,2020-21,NOP,New Orleans Pelicans,22000862,4/18/21,NOP @ NYK,1610612752,38.6,86.86,0.444,0.468,-0.023,New York Knicks,35,35,0.433,21.06,37.57,0.56,0.58,26.83,52.69,0.509,0.533,11.77,34.17,0.344,0.364,98.2,105.7
44,2020-21,NOP,New Orleans Pelicans,22000847,4/16/21,NOP @ WAS,1610612764,43.37,92.74,0.468,0.464,0.003,Washington Wizards,38,38,0.445,23.39,41.29,0.567,0.571,31.89,60.32,0.529,0.528,11.47,32.42,0.354,0.365,106.4,110.5
43,2020-21,NOP,New Orleans Pelicans,22000835,4/14/21,NOP vs. NYK,1610612752,38.6,86.86,0.444,0.468,-0.023,New York Knicks,35,35,0.433,21.06,37.57,0.56,0.58,26.83,52.69,0.509,0.533,11.77,34.17,0.344,0.364,98.2,105.7
46,2020-21,NOP,New Orleans Pelicans,22000819,4/12/21,NOP vs. SAC,1610612758,42.69,88.56,0.482,0.463,0.02,Sacramento Kings,36,36,0.473,24.81,41.92,0.592,0.572,31.36,56.75,0.553,0.528,11.33,31.81,0.356,0.36,102.2,114.6
49,2020-21,NOP,New Orleans Pelicans,22000807,4/11/21,NOP @ CLE,1610612739,42.5,87.31,0.487,0.466,0.021,Cleveland Cavaliers,36,36,0.469,24.44,40.94,0.597,0.578,30.67,55.06,0.557,0.532,11.83,32.25,0.367,0.365,99.6,112.1
28,2020-21,NOP,New Orleans Pelicans,22000795,4/9/21,NOP vs. PHI,1610612755,38.31,84.14,0.455,0.466,-0.011,Philadelphia 76ers,36,36,0.425,21.19,35.72,0.593,0.575,27.28,52.94,0.515,0.528,11.03,31.19,0.354,0.363,101.8,105.1
41,2020-21,NOP,New Orleans Pelicans,22000779,4/7/21,NOP @ BKN,1610612751,40.26,89.43,0.45,0.464,-0.013,Brooklyn Nets,35,35,0.403,20.4,36,0.567,0.575,26.69,52,0.513,0.528,13.57,37.43,0.363,0.365,101.8,110.6
51,2020-21,NOP,New Orleans Pelicans,22000770,4/6/21,NOP @ ATL,1610612737,41.53,89.42,0.464,0.466,-0.001,Atlanta Hawks,36,36,0.421,21.75,37.67,0.577,0.576,29.5,55.11,0.535,0.53,12.03,34.31,0.351,0.363,99.9,110.6
53,2020-21,NOP,New Orleans Pelicans,22000760,4/4/21,NOP @ HOU,1610612745,44.16,89.76,0.492,0.467,0.025,Houston Rockets,38,38,0.434,23.84,39,0.611,0.579,29.66,52.63,0.564,0.532,14.5,37.13,0.391,0.372,103.6,112.4
52,2020-21,NOP,New Orleans Pelicans,22000742,4/2/21,NOP vs. ATL,1610612737,41.53,89.42,0.464,0.466,-0.001,Atlanta Hawks,36,36,0.421,21.75,37.67,0.577,0.576,29.5,55.11,0.535,0.53,12.03,34.31,0.351,0.363,99.9,110.6
39,2020-21,NOP,New Orleans Pelicans,22000734,4/1/21,NOP vs. ORL,1610612753,42.64,90.67,0.47,0.468,0.002,Orlando Magic,36,36,0.411,21.47,37.25,0.576,0.579,28.92,53.86,0.537,0.532,13.72,36.81,0.373,0.366,100.8,112.1
56,2020-21,NOP,New Orleans Pelicans,22000708,3/29/21,NOP @ BOS,1610612738,39.89,86.61,0.461,0.462,-0.002,Boston Celtics,36,36,0.416,19.5,36.03,0.541,0.572,26.44,51.72,0.511,0.526,13.44,34.89,0.385,0.364,100.7,110
20,2020-21,NOP,New Orleans Pelicans,22000698,3/27/21,NOP vs. DAL,1610612742,39.63,86.58,0.458,0.465,-0.007,Dallas Mavericks,38,38,0.422,20.53,36.53,0.562,0.574,27.34,52.61,0.52,0.528,12.29,33.97,0.362,0.364,99.5,110.4
33,2020-21,NOP,New Orleans Pelicans,22000689,3/26/21,NOP vs. DEN,1610612743,39.75,84.78,0.469,0.462,0.007,Denver Nuggets,36,36,0.417,20.86,35.33,0.59,0.57,26.5,49.19,0.539,0.524,13.25,35.58,0.372,0.365,99.3,110
14,2020-21,NOP,New Orleans Pelicans,22000663,3/23/21,NOP vs. LAL,1610612747,39.46,84.37,0.468,0.466,0.002,Los Angeles Lakers,35,35,0.422,21.09,35.6,0.592,0.575,28.43,52.57,0.541,0.53,11.03,31.8,0.347,0.37,100.8,104.8
34,2020-21,NOP,New Orleans Pelicans,22000646,3/21/21,NOP @ DEN,1610612743,39.75,84.78,0.469,0.462,0.007,Denver Nuggets,36,36,0.417,20.86,35.33,0.59,0.57,26.5,49.19,0.539,0.524,13.25,35.58,0.372,0.365,99.3,110
58,2020-21,NOP,New Orleans Pelicans,22000629,3/18/21,NOP @ POR,1610612757,41.57,87.86,0.473,0.466,0.007,Portland Trail Blazers,37,37,0.413,21.57,36.32,0.594,0.577,28.73,53.62,0.536,0.531,12.84,34.24,0.375,0.366,100.8,113.4
59,2020-21,NOP,New Orleans Pelicans,22000614,3/16/21,NOP @ POR,1610612757,41.57,87.86,0.473,0.466,0.007,Portland Trail Blazers,37,37,0.413,21.57,36.32,0.594,0.577,28.73,53.62,0.536,0.531,12.84,34.24,0.375,0.366,100.8,113.4
36,2020-21,NOP,New Orleans Pelicans,22000601,3/14/21,NOP vs. LAC,1610612746,39.21,85.26,0.46,0.462,-0.002,LA Clippers,34,34,0.41,19.85,34.97,0.568,0.572,27.79,52.62,0.528,0.526,11.41,32.65,0.35,0.363,99.1,108.7
50,2020-21,NOP,New Orleans Pelicans,22000581,3/12/21,NOP vs. CLE,1610612739,42.5,87.31,0.487,0.466,0.021,Cleveland Cavaliers,36,36,0.469,24.44,40.94,0.597,0.578,30.67,55.06,0.557,0.532,11.83,32.25,0.367,0.365,99.6,112.1
30,2020-21,NOP,New Orleans Pelicans,22000574,3/11/21,NOP vs. MIN,1610612750,43.22,89,0.486,0.468,0.018,Minnesota Timberwolves,36,36,0.433,21.97,38.5,0.571,0.582,28.61,52.72,0.543,0.535,14.61,36.28,0.403,0.368,104.1,112.1
10,2020-21,NOP,New Orleans Pelicans,22000557,3/4/21,NOP vs. MIA,1610612748,39.44,83.67,0.471,0.464,0.008,Miami Heat,36,36,0.405,20.17,33.89,0.595,0.571,25.75,46.44,0.554,0.526,13.69,37.22,0.368,0.363,98.7,108.5
61,2020-21,NOP,New Orleans Pelicans,22000548,3/3/21,NOP vs. CHI,1610612741,40.66,86.55,0.47,0.464,0.006,Chicago Bulls,38,38,0.437,21.92,37.79,0.58,0.57,29.13,54.53,0.534,0.527,11.53,32.03,0.36,0.366,101.1,109.9
63,2020-21,NOP,New Orleans Pelicans,22000533,3/1/21,NOP vs. UTA,1610612762,40.81,91.64,0.445,0.463,-0.018,Utah Jazz,36,36,0.423,21.22,38.75,0.548,0.575,29.92,58.64,0.51,0.529,10.89,33,0.33,0.36,100.8,105.7
8,2020-21,NOP,New Orleans Pelicans,22000514,2/27/21,NOP @ SAS,1610612759,42.98,89.83,0.478,0.469,0.009,San Antonio Spurs,40,40,0.463,24.03,41.6,0.578,0.58,31.3,58.35,0.536,0.533,11.68,31.48,0.371,0.37,101,110.7
66,2020-21,NOP,New Orleans Pelicans,22000503,2/25/21,NOP @ MIL,1610612749,42.92,93.81,0.458,0.466,-0.009,Milwaukee Bucks,36,36,0.364,18.64,34.14,0.546,0.574,27.36,54.39,0.503,0.528,15.56,39.42,0.395,0.366,104.4,109.1
68,2020-21,NOP,New Orleans Pelicans,22000494,2/24/21,NOP vs. DET,1610612765,41.5,87.86,0.472,0.464,0.008,Detroit Pistons,36,36,0.477,24.22,41.92,0.578,0.571,30.78,57.08,0.539,0.527,10.72,30.78,0.348,0.366,100.1,110.3
57,2020-21,NOP,New Orleans Pelicans,22000465,2/21/21,NOP vs. BOS,1610612738,39.89,86.61,0.461,0.462,-0.002,Boston Celtics,36,36,0.416,19.5,36.03,0.541,0.572,26.44,51.72,0.511,0.526,13.44,34.89,0.385,0.364,100.7,110
4,2020-21,NOP,New Orleans Pelicans,22000455,2/19/21,NOP vs. PHX,1610612756,41.35,87.03,0.475,0.462,0.013,Phoenix Suns,37,37,0.427,22.05,37.19,0.593,0.571,29.22,53.73,0.544,0.525,12.14,33.3,0.364,0.366,99.3,108.8
60,2020-21,NOP,New Orleans Pelicans,22000441,2/17/21,NOP vs. POR,1610612757,41.57,87.86,0.473,0.466,0.007,Portland Trail Blazers,37,37,0.413,21.57,36.32,0.594,0.577,28.73,53.62,0.536,0.531,12.84,34.24,0.375,0.366,100.8,113.4
23,2020-21,NOP,New Orleans Pelicans,22000429,2/16/21,NOP @ MEM,1610612763,41.55,91.2,0.456,0.464,-0.009,Memphis Grizzlies,40,40,0.436,21.78,39.8,0.547,0.575,28.85,55.95,0.516,0.529,12.7,35.25,0.36,0.369,102.6,108.5
69,2020-21,NOP,New Orleans Pelicans,22000561,2/14/21,NOP @ DET,1610612765,41.5,87.86,0.472,0.464,0.008,Detroit Pistons,36,36,0.477,24.22,41.92,0.578,0.571,30.78,57.08,0.539,0.527,10.72,30.78,0.348,0.366,100.1,110.3
21,2020-21,NOP,New Orleans Pelicans,22000399,2/12/21,NOP @ DAL,1610612742,39.63,86.58,0.458,0.465,-0.007,Dallas Mavericks,38,38,0.422,20.53,36.53,0.562,0.574,27.34,52.61,0.52,0.528,12.29,33.97,0.362,0.364,99.5,110.4
62,2020-21,NOP,New Orleans Pelicans,22000385,2/10/21,NOP @ CHI,1610612741,40.66,86.55,0.47,0.464,0.006,Chicago Bulls,38,38,0.437,21.92,37.79,0.58,0.57,29.13,54.53,0.534,0.527,11.53,32.03,0.36,0.366,101.1,109.9
54,2020-21,NOP,New Orleans Pelicans,22000377,2/9/21,NOP vs. HOU,1610612745,44.16,89.76,0.492,0.467,0.025,Houston Rockets,38,38,0.434,23.84,39,0.611,0.579,29.66,52.63,0.564,0.532,14.5,37.13,0.391,0.372,103.6,112.4
24,2020-21,NOP,New Orleans Pelicans,22000355,2/6/21,NOP vs. MEM,1610612763,41.55,91.2,0.456,0.464,-0.009,Memphis Grizzlies,40,40,0.436,21.78,39.8,0.547,0.575,28.85,55.95,0.516,0.529,12.7,35.25,0.36,0.369,102.6,108.5
70,2020-21,NOP,New Orleans Pelicans,22000343,2/5/21,NOP @ IND,1610612754,44.05,94.46,0.466,0.464,0.002,Indiana Pacers,37,37,0.504,26.81,47.57,0.564,0.575,33.16,63.41,0.523,0.528,10.89,31.05,0.351,0.362,104,109.6
5,2020-21,NOP,New Orleans Pelicans,22000335,2/3/21,NOP vs. PHX,1610612756,41.35,87.03,0.475,0.462,0.013,Phoenix Suns,37,37,0.427,22.05,37.19,0.593,0.571,29.22,53.73,0.544,0.525,12.14,33.3,0.364,0.366,99.3,108.8
47,2020-21,NOP,New Orleans Pelicans,22000317,2/1/21,NOP vs. SAC,1610612758,42.69,88.56,0.482,0.463,0.02,Sacramento Kings,36,36,0.473,24.81,41.92,0.592,0.572,31.36,56.75,0.553,0.528,11.33,31.81,0.356,0.36,102.2,114.6
55,2020-21,NOP,New Orleans Pelicans,22000300,1/30/21,NOP vs. HOU,1610612745,44.16,89.76,0.492,0.467,0.025,Houston Rockets,38,38,0.434,23.84,39,0.611,0.579,29.66,52.63,0.564,0.532,14.5,37.13,0.391,0.372,103.6,112.4
67,2020-21,NOP,New Orleans Pelicans,22000293,1/29/21,NOP vs. MIL,1610612749,42.92,93.81,0.458,0.466,-0.009,Milwaukee Bucks,36,36,0.364,18.64,34.14,0.546,0.574,27.36,54.39,0.503,0.528,15.56,39.42,0.395,0.366,104.4,109.1
45,2020-21,NOP,New Orleans Pelicans,22000279,1/27/21,NOP vs. WAS,1610612764,43.37,92.74,0.468,0.464,0.003,Washington Wizards,38,38,0.445,23.39,41.29,0.567,0.571,31.89,60.32,0.529,0.528,11.47,32.42,0.354,0.365,106.4,110.5
