,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM_ID,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
64,2021-22,CHI,Chicago Bulls,22100257,2021-11-22,CHI vs. IND,L,48.0,31,85,0.365,6,28,0.214,9,15,0.6,5,33,38,13,9.0,6,2,12,16,15,77,-32.0,1,47,47,47,3,80,53,81,74,48,80,78,66,80,67,41,58,81,12,45,63,82,15,62,82,81,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
65,2021-22,CHI,Chicago Bulls,22100250,2021-11-21,CHI vs. NYK,W,48.0,37,88,0.42,11,29,0.379,24,27,0.889,11,33,44,21,10.0,5,1,11,26,25,109,6.0,1,1,1,1,3,63,33,72,31,38,40,11,16,18,15,41,30,54,21,56,74,81,82,1,46,29,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
66,2021-22,CHI,Chicago Bulls,22100236,2021-11-19,CHI @ DEN,W,48.0,41,93,0.441,8,31,0.258,24,24,1.0,17,33,50,19,11.0,7,3,5,20,22,114,6.0,1,1,1,1,3,38,8,56,59,25,73,11,25,1,2,41,8,66,28,35,47,35,52,10,31,29,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
67,2021-22,CHI,Chicago Bulls,22100223,2021-11-17,CHI @ POR,L,48.0,39,83,0.47,13,29,0.448,16,20,0.8,10,26,36,23,15.0,7,9,5,23,19,107,-5.0,1,47,47,47,3,50,65,44,18,38,19,46,45,42,23,73,69,40,52,35,3,35,71,28,52,52,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
68,2021-22,CHI,Chicago Bulls,22100209,2021-11-15,CHI @ LAL,W,48.0,49,89,0.551,15,34,0.441,8,11,0.727,4,32,36,31,17.0,9,2,5,21,15,121,18.0,1,1,1,1,3,9,26,10,8,10,22,79,80,65,77,49,69,11,69,17,63,35,59,62,20,4,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
69,2021-22,CHI,Chicago Bulls,22100198,2021-11-14,CHI @ LAC,W,48.0,38,86,0.442,11,29,0.379,13,14,0.929,7,38,45,19,15.0,9,4,7,20,15,100,10.0,1,1,1,1,3,59,44,55,31,38,40,59,72,11,48,16,27,66,52,17,31,63,52,62,67,21,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
70,2021-22,CHI,Chicago Bulls,22100183,2021-11-12,CHI @ GSW,L,48.0,34,78,0.436,8,27,0.296,17,22,0.773,7,31,38,18,20.0,9,2,3,16,15,93,-26.0,1,47,47,47,3,77,77,58,59,51,57,38,34,54,48,55,58,71,79,17,63,12,15,62,78,76,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
71,2021-22,CHI,Chicago Bulls,22100163,2021-11-10,CHI vs. DAL,W,48.0,45,89,0.506,15,31,0.484,12,14,0.857,8,38,46,26,11.0,9,2,4,15,16,117,10.0,1,1,1,1,3,25,26,28,8,25,9,67,72,26,42,16,23,22,28,17,63,24,7,55,27,21,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
72,2021-22,CHI,Chicago Bulls,22100148,2021-11-08,CHI vs. BKN,W,48.0,46,98,0.469,9,31,0.29,17,20,0.85,15,41,56,21,9.0,8,5,7,17,16,118,23.0,1,1,1,1,3,19,2,45,54,25,60,38,45,29,5,6,3,54,12,28,20,63,22,55,26,3,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
73,2021-22,CHI,Chicago Bulls,22100135,2021-11-06,CHI vs. PHI,L,48.0,37,92,0.402,7,29,0.241,24,30,0.8,18,28,46,20,9.0,7,1,5,19,22,105,-9.0,1,47,47,47,3,63,11,79,64,38,74,11,10,42,1,66,23,61,12,35,74,35,37,10,59,60,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
74,2021-22,CHI,Chicago Bulls,22100111,2021-11-03,CHI @ PHI,L,48.0,38,82,0.463,6,21,0.286,16,18,0.889,9,38,47,19,16.0,11,4,4,17,15,98,-5.0,1,47,47,47,3,59,68,48,74,74,61,46,57,18,35,16,17,66,65,6,31,24,22,62,70,52,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
75,2021-22,CHI,Chicago Bulls,22100098,2021-11-01,CHI @ BOS,W,48.0,49,86,0.57,13,31,0.419,17,18,0.944,10,40,50,30,18.0,7,8,1,19,15,128,14.0,1,1,1,1,3,9,44,5,18,25,27,38,57,8,23,11,8,14,74,35,5,1,37,62,10,8,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
76,2021-22,CHI,Chicago Bulls,22100083,2021-10-30,CHI vs. UTA,W,48.0,39,91,0.429,5,21,0.238,24,30,0.8,9,36,45,16,9.0,8,5,7,19,21,107,8.0,1,1,1,1,3,50,15,67,79,74,76,11,10,42,35,27,27,78,12,28,20,63,37,16,52,24,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
77,2021-22,CHI,Chicago Bulls,22100067,2021-10-28,CHI vs. NYK,L,48.0,36,84,0.429,11,32,0.344,20,22,0.909,5,32,37,25,7.0,6,5,7,18,21,103,-1.0,1,47,47,47,3,69,57,67,31,23,49,28,34,13,67,49,62,26,5,45,20,63,31,16,62,47,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
78,2021-22,CHI,Chicago Bulls,22100046,2021-10-25,CHI @ TOR,W,48.0,39,81,0.481,12,27,0.444,21,22,0.955,5,24,29,24,13.0,11,3,1,16,18,111,3.0,1,1,1,1,3,50,71,37,25,51,20,23,34,4,67,81,82,35,38,6,47,1,15,35,40,43,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
79,2021-22,CHI,Chicago Bulls,22100030,2021-10-23,CHI vs. DET,W,48.0,35,84,0.417,11,26,0.423,16,19,0.842,3,39,42,24,13.0,13,11,8,17,17,97,15.0,1,1,1,1,3,72,57,74,31,56,26,46,51,31,80,13,40,35,38,1,1,70,22,43,73,6,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
80,2021-22,CHI,Chicago Bulls,22100022,2021-10-22,CHI vs. NOP,W,48.0,47,89,0.528,14,28,0.5,20,25,0.8,11,35,46,32,14.0,9,7,5,14,20,128,16.0,1,1,1,1,3,14,26,19,13,48,4,28,22,42,15,30,23,7,44,17,8,35,4,23,10,5,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
81,2021-22,CHI,Chicago Bulls,22100004,2021-10-20,CHI @ DET,W,48.0,37,86,0.43,7,23,0.304,13,15,0.867,9,39,48,18,17.0,8,5,5,19,16,94,6.0,1,1,1,1,3,63,44,63,64,68,55,59,66,23,35,13,14,71,69,28,20,35,37,55,76,29,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
