,SEASON_YEAR,TEAM_ABBREVIATION_x,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,TEAM_NAME_y,TEAM_ABBREVIATION_y,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS_x,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS_y,TEAM_ID,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
61,2021-22,PHI,Philadelphia 76ers,22100656,2022-01-17,PHI @ WAS,42.92,89.13,0.482,0.458,0.023,Washington Wizards,WAS,24,24,0.431,22.75,38.38,0.593,0.582,0.011,30.0,55.13,0.544,0.53,0.014,1610612764,12.92,34.0,0.38,0.355,0.025,99.3,111.7
30,2021-22,PHI,Philadelphia 76ers,22100645,2022-01-15,PHI @ MIA,38.87,84.57,0.46,0.46,-0.001,Miami Heat,MIA,23,23,0.388,20.52,32.83,0.625,0.58,0.046,26.7,47.43,0.563,0.53,0.033,1610612748,12.17,37.13,0.328,0.355,-0.027,98.2,106.3
55,2021-22,PHI,Philadelphia 76ers,22100635,2022-01-14,PHI vs. BOS,39.41,87.64,0.45,0.461,-0.011,Boston Celtics,BOS,22,22,0.411,20.09,36.05,0.557,0.58,-0.023,27.73,53.23,0.521,0.532,-0.011,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
16,2021-22,PHI,Philadelphia 76ers,22100619,2022-01-12,PHI vs. CHA,42.45,89.18,0.476,0.459,0.017,Charlotte Hornets,CHA,22,22,0.43,22.64,38.36,0.59,0.58,0.01,28.45,52.23,0.545,0.529,0.016,1610612766,14.0,36.95,0.379,0.352,0.027,102.3,111.0
71,2021-22,PHI,Philadelphia 76ers,22100711,2022-01-10,PHI @ HOU,43.75,90.63,0.483,0.461,0.022,Houston Rockets,HOU,24,24,0.471,26.5,42.71,0.62,0.582,0.038,32.04,56.96,0.563,0.531,0.032,1610612745,11.71,33.67,0.348,0.353,-0.006,103.3,114.4
70,2021-22,PHI,Philadelphia 76ers,22100582,2022-01-07,PHI vs. SAS,42.52,90.3,0.471,0.459,0.012,San Antonio Spurs,SAS,23,23,0.442,22.78,39.91,0.571,0.583,-0.012,29.26,54.96,0.532,0.534,-0.002,1610612759,13.26,35.35,0.375,0.35,0.025,102.4,110.0
38,2021-22,PHI,Philadelphia 76ers,22100568,2022-01-05,PHI @ ORL,40.55,89.5,0.453,0.458,-0.005,Orlando Magic,ORL,22,22,0.398,20.32,35.59,0.571,0.579,-0.008,26.68,50.86,0.525,0.529,-0.004,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
72,2021-22,PHI,Philadelphia 76ers,22100552,2022-01-03,PHI vs. HOU,43.75,90.63,0.483,0.461,0.022,Houston Rockets,HOU,24,24,0.471,26.5,42.71,0.62,0.582,0.038,32.04,56.96,0.563,0.531,0.032,1610612745,11.71,33.67,0.348,0.353,-0.006,103.3,114.4
41,2021-22,PHI,Philadelphia 76ers,22100525,2021-12-30,PHI @ BKN,40.87,89.26,0.458,0.456,0.002,Brooklyn Nets,BKN,23,23,0.419,21.57,37.43,0.576,0.577,-0.001,27.17,52.74,0.515,0.526,-0.011,1610612751,13.7,36.52,0.375,0.355,0.02,101.6,109.6
9,2021-22,PHI,Philadelphia 76ers,22100510,2021-12-28,PHI @ TOR,39.6,85.0,0.466,0.463,0.003,Toronto Raptors,TOR,25,25,0.424,21.2,36.0,0.589,0.585,0.004,27.28,50.32,0.542,0.533,0.009,1610612761,12.32,34.68,0.355,0.356,0.0,98.6,107.9
62,2021-22,PHI,Philadelphia 76ers,22100495,2021-12-26,PHI @ WAS,42.92,89.13,0.482,0.458,0.023,Washington Wizards,WAS,24,24,0.431,22.75,38.38,0.593,0.582,0.011,30.0,55.13,0.544,0.53,0.014,1610612764,12.92,34.0,0.38,0.355,0.025,99.3,111.7
73,2021-22,PHI,Philadelphia 76ers,22100478,2021-12-23,PHI vs. ATL,42.71,88.54,0.482,0.458,0.025,Atlanta Hawks,ATL,24,24,0.423,23.13,37.46,0.617,0.577,0.041,30.71,56.04,0.548,0.526,0.022,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
56,2021-22,PHI,Philadelphia 76ers,22100457,2021-12-20,PHI @ BOS,39.41,87.64,0.45,0.461,-0.011,Boston Celtics,BOS,22,22,0.411,20.09,36.05,0.557,0.58,-0.023,27.73,53.23,0.521,0.532,-0.011,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
42,2021-22,PHI,Philadelphia 76ers,22100429,2021-12-16,PHI @ BKN,40.87,89.26,0.458,0.456,0.002,Brooklyn Nets,BKN,23,23,0.419,21.57,37.43,0.576,0.577,-0.001,27.17,52.74,0.515,0.526,-0.011,1610612751,13.7,36.52,0.375,0.355,0.02,101.6,109.6
31,2021-22,PHI,Philadelphia 76ers,22100419,2021-12-15,PHI vs. MIA,38.87,84.57,0.46,0.46,-0.001,Miami Heat,MIA,23,23,0.388,20.52,32.83,0.625,0.58,0.046,26.7,47.43,0.563,0.53,0.033,1610612748,12.17,37.13,0.328,0.355,-0.027,98.2,106.3
64,2021-22,PHI,Philadelphia 76ers,22100409,2021-12-13,PHI @ MEM,41.45,90.0,0.461,0.462,-0.001,Memphis Grizzlies,MEM,22,22,0.461,23.73,41.5,0.572,0.583,-0.012,30.41,57.45,0.529,0.536,-0.006,1610612763,11.05,32.55,0.339,0.352,-0.012,103.1,106.2
