,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM_ID,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
71,2021-22,ATL,Atlanta Hawks,22100152,2021-11-08,ATL @ GSW,L,48.0,38,82,0.463,17,43,0.395,20,26,0.769,3,32,35,21,18.0,6,2,4,16,22,113,-14.0,1,44,44,44,2,58,68,43,8,6,31,26,22,56,82,53,76,58,80,46,69,27,13,23,45,73,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
72,2021-22,ATL,Atlanta Hawks,22100137,2021-11-06,ATL @ PHX,L,48.0,42,97,0.433,13,33,0.394,20,23,0.87,14,36,50,18,12.0,3,1,6,16,22,117,-4.0,1,44,44,44,2,37,4,63,36,49,33,26,35,24,10,24,9,75,33,76,73,58,13,23,36,47,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
73,2021-22,ATL,Atlanta Hawks,22100120,2021-11-04,ATL vs. UTA,L,48.0,35,82,0.427,7,28,0.25,21,26,0.808,5,27,32,18,9.0,11,4,4,24,20,98,-18.0,1,44,44,44,2,75,68,65,75,69,76,21,22,48,77,72,80,75,11,5,35,27,77,35,68,78,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
74,2021-22,ATL,Atlanta Hawks,22100113,2021-11-03,ATL @ BKN,L,48.0,41,94,0.436,13,35,0.371,13,15,0.867,12,40,52,23,14.0,8,4,8,16,18,108,-9.0,1,44,44,44,2,43,12,60,36,37,43,68,70,26,25,6,6,49,59,25,35,74,13,55,57,58,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
75,2021-22,ATL,Atlanta Hawks,22100097,2021-11-01,ATL vs. WAS,W,48.0,38,83,0.458,13,34,0.382,29,29,1.0,13,34,47,24,11.0,9,5,4,17,24,118,7.0,1,1,1,1,2,58,65,46,36,42,38,4,13,1,13,38,26,44,25,18,21,27,22,12,31,30,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
76,2021-22,ATL,Atlanta Hawks,22100082,2021-10-30,ATL @ PHI,L,48.0,36,95,0.379,8,22,0.364,14,19,0.737,20,29,49,24,19.0,6,1,6,17,24,94,-28.0,1,44,44,44,2,72,10,78,70,81,44,63,52,64,2,70,13,44,82,46,73,58,22,12,77,82,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
77,2021-22,ATL,Atlanta Hawks,22100066,2021-10-28,ATL @ WAS,L,48.0,48,88,0.545,6,21,0.286,9,14,0.643,6,37,43,26,13.0,4,3,4,16,16,111,-11.0,1,44,44,44,2,5,40,9,80,82,71,77,75,79,66,16,47,29,46,70,53,27,13,72,51,68,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
78,2021-22,ATL,Atlanta Hawks,22100059,2021-10-27,ATL @ NOP,W,48.0,40,96,0.417,8,30,0.267,14,17,0.824,21,34,55,21,11.0,4,4,6,14,19,102,3.0,1,1,1,1,2,49,8,69,70,65,74,63,62,41,1,38,1,58,25,70,35,58,4,46,65,37,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
79,2021-22,ATL,Atlanta Hawks,22100043,2021-10-25,ATL vs. DET,W,48.0,46,90,0.511,12,32,0.375,18,21,0.857,10,39,49,24,16.0,11,3,6,19,15,122,18.0,1,1,1,1,2,14,30,23,49,55,41,37,43,30,34,9,13,44,75,5,53,58,42,76,20,9,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
80,2021-22,ATL,Atlanta Hawks,22100027,2021-10-23,ATL @ CLE,L,48.0,38,99,0.384,10,34,0.294,9,15,0.6,17,37,54,20,9.0,5,3,6,23,16,95,-6.0,1,44,44,44,2,58,3,76,63,42,64,77,70,80,3,16,3,65,11,63,53,58,72,72,75,52,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
81,2021-22,ATL,Atlanta Hawks,22100014,2021-10-21,ATL vs. DAL,W,48.0,45,94,0.479,15,35,0.429,8,9,0.889,6,49,55,31,13.0,8,9,3,16,21,113,26.0,1,1,1,1,2,17,12,36,19,37,19,79,82,17,66,1,1,6,46,25,2,17,13,31,45,3,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
